Marietta,59089,33.952602,-84.5499327
Columbus,202824,32.4609764,-84.9877094
Smyrna,53438,33.8839926,-84.5143761
Athens-Clarke County,119980,33.9519347,-83.357567
Macon,89981,32.8406946,-83.6324022
Atlanta,447841,33.7489954,-84.3879824
Johns Creek,82788,34.0289259,-84.198579
Savannah,142772,32.0835407,-81.0998342
Peachtree Corners,40059,33.9698929,-84.2214551
Sandy Springs,99770,33.9304352,-84.3733147
Alpharetta,62298,34.0753762,-84.2940899
Augusta-Richmond County,197350,33.4734978,-82.0105148
Albany,76185,31.5785074,-84.155741
Brookhaven,50603,33.8651033,-84.3365917
Roswell,94034,34.0232431,-84.3615555
Dunwoody,47591,33.9462125,-84.3346473
Warner Robins,72531,32.6130007,-83.624201
Valdosta,56481,30.8327022,-83.2784851
