Logan,48913,41.7369803,-111.8338359
Layton,70790,41.0602216,-111.9710529
South Jordan,59366,40.5621704,-111.929658
Bountiful,43023,40.8893895,-111.880771
Provo,116288,40.2338438,-111.6585337
Riverton,40921,40.521893,-111.9391023
Lehi,54382,40.3916172,-111.8507662
Ogden,84249,41.223,-111.9738304
Murray,48612,40.6668916,-111.8879909
West Valley City,133579,40.6916132,-112.0010501
Orem,91648,40.2968979,-111.6946475
Draper,45285,40.5246711,-111.8638226
St. George,76817,37.0965278,-113.5684164
Spanish Fork,36956,40.114955,-111.654923
Taylorsville,60519,40.6677248,-111.9388258
West Jordan,110077,40.6096698,-111.9391031
Salt Lake City,191180,40.7607793,-111.8910474
Sandy,90231,40.5649781,-111.8389726
Roy,37733,41.1616108,-112.0263313
