Parker,48608,39.5186002,-104.7613633
Lakewood,147214,39.7047095,-105.0813734
Thornton,127359,39.8680412,-104.9719243
Denver,649495,39.7392358,-104.990251
Littleton,44275,39.613321,-105.0166498
Aurora,345803,39.7294319,-104.8319195
Colorado Springs,439886,38.8338816,-104.8213634
Boulder,103166,40.0149856,-105.2705456
Pueblo,108249,38.2544472,-104.6091409
Broomfield,59471,39.9205411,-105.0866504
Arvada,111707,39.8027644,-105.0874842
Commerce City,49799,39.8083196,-104.9338675
Fort Collins,152061,40.5852602,-105.084423
Centennial,106114,39.5807452,-104.8771726
Grand Junction,59778,39.0638705,-108.5506486
Loveland,71334,40.3977612,-105.0749801
Longmont,89919,40.1672068,-105.1019275
Northglenn,37499,39.8961821,-104.9811468
Castle Rock,53063,39.3722121,-104.8560902
Westminster,110945,39.8366528,-105.0372046
Greeley,96539,40.4233142,-104.7091322
