West Palm Beach,102436,26.7153424,-80.0533746
Doral,50213,25.8195424,-80.3553302
Daytona Beach,62316,29.2108147,-81.0228331
North Lauderdale,42757,26.217305,-80.2258811
Deerfield Beach,78041,26.3184123,-80.0997657
Coral Springs,126604,26.271192,-80.2706044
Apopka,45587,28.6934076,-81.5322149
Hollywood,146526,26.0112014,-80.1494901
Tallahassee,186411,30.4382559,-84.2807329
Fort Myers,68190,26.640628,-81.8723084
Tampa,352957,27.950575,-82.4571776
Plantation,90268,26.1275862,-80.2331036
Sarasota,53326,27.3364347,-82.5306527
Jacksonville,842583,30.3321838,-81.655651
Orlando,255483,28.5383355,-81.3792365
Pinellas Park,49998,27.8428025,-82.6995443
North Miami Beach,43250,25.9331488,-80.1625463
North Miami,61007,25.8900949,-80.1867138
Miami Gardens,111378,25.9420377,-80.2456045
Melbourne,77508,28.0836269,-80.6081089
Palm Bay,104898,28.0344621,-80.5886646
Pompano Beach,104410,26.2378597,-80.1247667
Davie,96830,26.0764783,-80.2521157
Oakland Park,43286,26.1723065,-80.1319893
Boynton Beach,71097,26.5317866,-80.0905465
Sunrise,90116,26.1669711,-80.256595
Pensacola,52703,30.421309,-87.2169149
Lakeland,100710,28.0394654,-81.9498042
Jupiter,58298,26.9342246,-80.0942087
Sanford,56002,28.8028612,-81.269453
Port Orange,57203,29.1383165,-80.9956105
St. Petersburg,249688,27.773056,-82.64
Port St. Lucie,171016,27.2730492,-80.3582261
Ormond Beach,38661,29.2858129,-81.0558894
Tamarac,63155,26.2128609,-80.2497707
Pembroke Pines,162329,26.007765,-80.2962555
Deltona,86290,28.9005446,-81.2636738
Bonita Springs,47547,26.339806,-81.7786972
North Port,59212,27.044224,-82.2359254
Homestead,64079,25.4687224,-80.4775569
Cape Coral,165831,26.5628537,-81.9495331
Largo,78409,27.9094665,-82.7873244
Palm Beach Gardens,50699,26.8233946,-80.1386547
Hallandale Beach,38632,25.9812024,-80.148379
Hialeah,233394,25.8575963,-80.2781057
Gainesville,127488,29.6516344,-82.3248262
Aventura,37199,25.9564812,-80.1392121
Delray Beach,64072,26.4614625,-80.0728201
Wellington,60202,26.6617635,-80.2683571
Weston,68388,26.1003654,-80.3997748
Titusville,44206,28.6122187,-80.8075537
Miami Beach,91026,25.790654,-80.1300455
Ocoee,39172,28.5691677,-81.5439619
Panama City,36877,30.1588129,-85.6602058
Fort Pierce,43074,27.4467056,-80.3256056
Ocala,57468,29.1871986,-82.1400923
Boca Raton,89407,26.3683064,-80.1289321
Lauderhill,69813,26.1403635,-80.2133808
St. Cloud,40918,28.2489016,-81.2811801
Palm Coast,78740,29.5844524,-81.2078699
Altamonte Springs,42150,28.6611089,-81.3656242
Miramar,130288,25.9860762,-80.3035602
Coconut Creek,56792,26.2517482,-80.1789351
Bradenton,51763,27.4989278,-82.5748194
Fort Lauderdale,172389,26.1224386,-80.1373174
Clearwater,109703,27.9658533,-82.8001026
Cutler Bay,43328,25.5808323,-80.3468593
Margate,55456,26.2445263,-80.206436
Miami,417650,25.7616798,-80.1917902
Coral Gables,49631,25.72149,-80.2683838
Kissimmee,65173,28.2919557,-81.407571
Winter Garden,37711,28.5652787,-81.5861847
Greenacres,38696,26.6276276,-80.1353896
